id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15336330,Luxury apartment in Athens,92107017,Alex,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.02092067567468,23.73049816380748,Entire home/apt,71,2,2,2017-04-24,0.43,1,122
15402815,Papis house,98356451,Dimitris,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01894449532805,23.724625194337204,Entire home/apt,28,1,0,,,1,157
6475146,Apartment near the Center of Athens,8407452,Margaret,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.021601606487486,23.727491072045616,Entire home/apt,20,2,2,2016-05-17,0.16,2,128
1905805,Cosy apartment near the Center of Athens,8407452,Margaret,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01959218143298,23.727595287869356,Entire home/apt,22,2,14,2016-12-22,0.60,2,364
12869440,οροφοδιαμέρισμα στον 2ο όροφο,70373457,Ioannis,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.023050812239255,23.729984409617433,Entire home/apt,62,7,0,,,1,365
4219518,Athens view luxury flat 50m. metro,3600854,Giorgos,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.018852682326774,23.730927038621548,Entire home/apt,99,3,37,2016-12-26,1.22,3,309
14193527,Spacious Ap/ment in Athens centre,65714690,HomeRentality,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.015743114218104,23.728922901302557,Entire home/apt,40,3,0,,,19,301
11271502,Athens modern apart. 10 min metro,48331146,Vasilika,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.018517543970056,23.727542672862672,Entire home/apt,28,3,17,2017-04-18,1.23,3,301
17628792,Ideal  flat  for holidays  in Athens,116858968,Margarita,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01751218403288,23.72473598988616,Entire home/apt,31,3,0,,,1,180
10485127,"Convenient, Sunny, Central & Spacious Flat",6306395,Stella,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01737693524664,23.72501044300437,Entire home/apt,22,4,51,2017-05-01,3.40,1,36
11598511,Apartment next to metro station,12596317,Ioannis,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01940856506578,23.730715861325038,Entire home/apt,26,4,5,2017-04-04,0.57,1,364
9310961,Athens luxury apartment 70m metro,48331146,Vasilika,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.02045259692062,23.72936510428606,Entire home/apt,99,2,12,2017-05-05,0.91,3,297
15541814,The calm house of colours&music,99996876,Maria,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01391950403312,23.728765463622985,Entire home/apt,40,1,4,2017-04-14,0.94,1,167
11098937,Athens city break -5 min.metro,3600854,Giorgos,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01873910601346,23.72832232800982,Entire home/apt,29,3,2,2016-08-13,0.15,3,301
8379354,Athens flat 120m metro 3 bedrooms,3600854,Giorgos,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01968755143981,23.728974324308435,Entire home/apt,69,2,7,2017-03-19,0.46,3,266
17338385,Large renovated apartment near the center,33811770,Michail,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01868495278253,23.728122232859363,Entire home/apt,22,2,7,2017-04-24,3.62,4,295
4640224,Athens Oasis-Central Athens House with Pool,24025455,Nikos,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.012889310666104,23.728689496856962,Entire home/apt,180,2,8,2017-04-17,0.33,1,323
